category,date,title,pdf_url,pdf_filename,local_path
Master Circulars,"Jun 06, 2024","Guidelines on Anti-Money Laundering (AML) Standards and Combating the Financing of Terrorism (CFT) /Obligations of Securities Market Intermediaries under the Prevention of Money Laundering Act, 2002 and Rules framed there under.",https://www.sebi.gov.in/sebi_data/attachdocs/jun-2024/1717664538363.pdf,1717664538363.pdf,pdfs\Guidelines_on_Anti-Money_Laundering_(AML)_Standards_and_Combating_the_Financing_of_Terrorism_(CFT)__\1717664538363.pdf
Master Circulars,"Jun 03, 2024",Master Circular for Bankers to an Issue,https://www.sebi.gov.in/sebi_data/attachdocs/jun-2024/1717415901263.pdf,1717415901263.pdf,pdfs\Master_Circular_for_Bankers_to_an_Issue\1717415901263.pdf
Master Circulars,"May 30, 2024","Master Circular for Foreign Portfolio Investors, Designated Depository Participants and Eligible Foreign Investors.",https://www.sebi.gov.in/sebi_data/attachdocs/may-2024/1717066343989.pdf,1717066343989.pdf,"pdfs\Master_Circular_for_Foreign_Portfolio_Investors,_Designated_Depository_Participants_and_Eligible_For\1717066343989.pdf"
Master Circulars,"May 22, 2024","Master Circular for issue and listing of Non-convertible Securities, Securitised Debt Instruments, Security Receipts, Municipal Debt Securities and Commercial Paper",https://www.sebi.gov.in/sebi_data/attachdocs/may-2024/1716379377576.pdf,1716379377576.pdf,"pdfs\Master_Circular_for_issue_and_listing_of_Non-convertible_Securities,_Securitised_Debt_Instruments,_S\1716379377576.pdf"
Master Circulars,"May 22, 2024",Master Circular for Stock Brokers,https://www.sebi.gov.in/sebi_data/attachdocs/may-2024/1716371484396.pdf,1716371484396.pdf,pdfs\Master_Circular_for_Stock_Brokers\1716371484396.pdf
Master Circulars,"May 21, 2024",Master Circular for Investment Advisers,https://www.sebi.gov.in/sebi_data/attachdocs/may-2024/1716290710767.pdf,1716290710767.pdf,pdfs\Master_Circular_for_Investment_Advisers\1716290710767.pdf
Master Circulars,"May 21, 2024",Master Circular for Research Analysts,https://www.sebi.gov.in/sebi_data/attachdocs/may-2024/1716290553655.pdf,1716290553655.pdf,pdfs\Master_Circular_for_Research_Analysts\1716290553655.pdf
Master Circulars,"May 21, 2024","Master Circular for listing obligations and disclosure requirements for Non-convertible Securities, Securitized Debt Instruments and/ or Commercial Paper",https://www.sebi.gov.in/sebi_data/attachdocs/may-2024/1716288065249.pdf,1716288065249.pdf,"pdfs\Master_Circular_for_listing_obligations_and_disclosure_requirements_for_Non-convertible_Securities,_\1716288065249.pdf"
Master Circulars,"May 16, 2024",Master Circular for ESG Rating Providers (ERPs),https://www.sebi.gov.in/sebi_data/attachdocs/may-2024/1715855635985.pdf,1715855635985.pdf,pdfs\Master_Circular_for_ESG_Rating_Providers_(ERPs)\1715855635985.pdf
Master Circulars,"May 16, 2024",Master Circular for Debenture Trustees (DTs),https://www.sebi.gov.in/sebi_data/attachdocs/may-2024/1715922862264.pdf,1715922862264.pdf,pdfs\Master_Circular_for_Debenture_Trustees_(DTs)\1715922862264.pdf
Master Circulars,"May 16, 2024",Master Circular for Credit Rating Agencies (CRAs),https://www.sebi.gov.in/sebi_data/attachdocs/sep-2024/1727347354955.pdf,1727347354955.pdf,pdfs\Master_Circular_for_Credit_Rating_Agencies_(CRAs)\1727347354955.pdf
Master Circulars,"May 15, 2024",Master Circular for Real Estate Investment Trusts (REITs) (Updated),https://www.sebi.gov.in/sebi_data/attachdocs/nov-2024/1731580754747.pdf,1731580754747.pdf,pdfs\Master_Circular_for_Real_Estate_Investment_Trusts_(REITs)_(Updated)\1731580754747.pdf
Master Circulars,"May 15, 2024",Master Circular for Infrastructure Investment Trusts (InvITs) (Updated),https://www.sebi.gov.in/sebi_data/attachdocs/nov-2024/1731580625738.pdf,1731580625738.pdf,pdfs\Master_Circular_for_Infrastructure_Investment_Trusts_(InvITs)_(Updated)\1731580625738.pdf
Master Circulars,"May 15, 2024",Master Circular for Infrastructure Investment Trusts (InvITs),https://www.sebi.gov.in/sebi_data/attachdocs/may-2024/1715773721724.pdf,1715773721724.pdf,pdfs\Master_Circular_for_Infrastructure_Investment_Trusts_(InvITs)\1715773721724.pdf
Master Circulars,"May 15, 2024",Master Circular for Real Estate Investment Trusts (REITs),https://www.sebi.gov.in/sebi_data/attachdocs/may-2024/1715773328683.pdf,1715773328683.pdf,pdfs\Master_Circular_for_Real_Estate_Investment_Trusts_(REITs)\1715773328683.pdf
Master Circulars,"May 10, 2024",Master Circular for Custodians,https://www.sebi.gov.in/sebi_data/attachdocs/may-2024/1715353322049.pdf,1715353322049.pdf,pdfs\Master_Circular_for_Custodians\1715353322049.pdf
Master Circulars,"May 07, 2024",Master Circular for Alternative Investment Funds (AIFs),https://www.sebi.gov.in/sebi_data/attachdocs/may-2024/1715088215946.pdf,1715088215946.pdf,pdfs\Master_Circular_for_Alternative_Investment_Funds_(AIFs)\1715088215946.pdf
Master Circulars,"May 07, 2024",Master Circular for Registrars to an Issue and Share Transfer Agents,https://www.sebi.gov.in/sebi_data/attachdocs/may-2024/1715081550397.pdf,1715081550397.pdf,pdfs\Master_Circular_for_Registrars_to_an_Issue_and_Share_Transfer_Agents\1715081550397.pdf
Master Circulars,"Dec 28, 2023",Master Circular for Online Resolution of Disputes in the Indian  Securities Market,https://www.sebi.gov.in/sebi_data/attachdocs/dec-2023/1703763993735.pdf,1703763993735.pdf,pdfs\Master_Circular_for_Online_Resolution_of_Disputes_in_the_Indian_Securities_Market\1703763993735.pdf
Master Circulars,"Oct 16, 2023",Master Circular for Stock Exchanges and Clearing Corporations,https://www.sebi.gov.in/sebi_data/attachdocs/oct-2023/1697460193802.pdf,1697460193802.pdf,pdfs\Master_Circular_for_Stock_Exchanges_and_Clearing_Corporations\1697460193802.pdf
Master Circulars,"Oct 12, 2023",Master Circular on Know Your Client (KYC) norms for the securities market,https://www.sebi.gov.in/sebi_data/attachdocs/oct-2023/1697120943335.pdf,1697120943335.pdf,pdfs\Master_Circular_on_Know_Your_Client_(KYC)_norms_for_the_securities_market\1697120943335.pdf
Master Circulars,"Oct 06, 2023",Master Circular for Depositories,https://www.sebi.gov.in/sebi_data/attachdocs/oct-2023/1696831738330.pdf,1696831738330.pdf,pdfs\Master_Circular_for_Depositories\1696831738330.pdf
Master Circulars,"Sep 26, 2023",Master Circular for Merchant Bankers,NOT_FOUND,NOT_FOUND,NOT_FOUND
Master Circulars,"Aug 11, 2023",Online Resolution of Disputes in the Indian Securities Market,https://www.sebi.gov.in/sebi_data/attachdocs/aug-2023/1691751968746.pdf,1691751968746.pdf,pdfs\Online_Resolution_of_Disputes_in_the_Indian_Securities_Market\1691751968746.pdf
Master Circulars,"Aug 04, 2023",Master Circular for Commodity Derivatives Segment,https://www.sebi.gov.in/sebi_data/attachdocs/aug-2023/1691151096694.pdf,1691151096694.pdf,pdfs\Master_Circular_for_Commodity_Derivatives_Segment\1691151096694.pdf
Master Circulars,"Jul 31, 2023",Master Circular for Alternative Investment Funds (AIFs),https://www.sebi.gov.in/sebi_data/attachdocs/jul-2023/1690814716087.pdf,1690814716087.pdf,pdfs\Master_Circular_for_Alternative_Investment_Funds_(AIFs)\1690814716087.pdf
Master Circulars,"Jul 12, 2023",Master Circular for ESG Rating Providers (ERPs),https://www.sebi.gov.in/sebi_data/attachdocs/jul-2023/1689164906428.pdf,1689164906428.pdf,pdfs\Master_Circular_for_ESG_Rating_Providers_(ERPs)\1689164906428.pdf
Master Circulars,"Jul 11, 2023","Master circular for compliance with the provisions of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015 by listed entities",https://www.sebi.gov.in/sebi_data/attachdocs/jul-2023/1689087475880.pdf,1689087475880.pdf,pdfs\Master_circular_for_compliance_with_the_provisions_of_the_Securities_and_Exchange_Board_of_India_(Li\1689087475880.pdf
Master Circulars,"Jul 07, 2023","Master Circular for issue and listing of Non-convertible Securities, Securitised Debt Instruments, Security Receipts, Municipal Debt Securities and Commercial Paper",https://www.sebi.gov.in/sebi_data/attachdocs/jul-2023/1688812243903.pdf,1688812243903.pdf,"pdfs\Master_Circular_for_issue_and_listing_of_Non-convertible_Securities,_Securitised_Debt_Instruments,_S\1688812243903.pdf"
